obra,obraId,codigoEvweb,descripcion,param1,param2
FEDERACION PATRONAL ART,228,5047,Amputacion de mas de 2 dedos del pie,13669,91
FEDERACION PATRONAL ART,228,5048,Amputacion de mas de 3 dedos,13670,91
FEDERACION PATRONAL ART,228,5049,Amputacion de menos de 3 dedos,13671,90
FEDERACION PATRONAL ART,228,5050,"Amputacion de muslo, pie o antepie",13672,92
FEDERACION PATRONAL ART,228,5053,Amputacion de pierna (supracondilea),13673,92
FEDERACION PATRONAL ART,228,5054,Amputacion inter-ilio-abdominal,13674,95
FEDERACION PATRONAL ART,228,5055,Amputacion inter-ilio-femoral,13675,94
FEDERACION PATRONAL ART,228,5056,Amputacion parcial o total de pene,13676,92
FEDERACION PATRONAL ART,228,5997,Mastectomia unilateral (amputacion simple de mama),14358,92
FEDERACION PATRONAL ART,228,5051,Amputacion de oreja,14854,91
FEDERACION PATRONAL ART,228,5462,Crioneurolisis de neuroma de amputacion,14955,92
FEDERACION PATRONAL ART,228,5040,Amputacion abdomino-perineal (operacion de Miles o similares) (se reseca recto y ano y se deja colosto- mia definitiva en FII),15359,95
FEDERACION PATRONAL ART,228,5052,Amputacion de pie,15473,92
FEDERACION PATRONAL ART,228,8500,"Analgesia peridural, lumbar o toracica, colocacion de cateter, puesta en marcha de la infusion. Dia 0",66589,92
FEDERACION PATRONAL ART,228,8503,"Analgesia peridural continua, con bomba, control dias subsiguientes a la colocacion. Hasta 72 hs. Por dia.",69333,90
FEDERACION PATRONAL ART,228,8504,"Analgesia peridural continua, sin bomba, control dias subsiguientes a la colocacion. Hasta 72 hs. Por dia.",69334,89
FEDERACION PATRONAL ART,228,8505,"Analgesia intratecal, controles dias subsiguientes. Por dia (hasta 48 hs)",69355,91
FEDERACION PATRONAL ART,228,8506,"Analgesia intratecal, dosis unica, colocacion",69356,91
FEDERACION PATRONAL ART,228,8516,"Analgesia sistemica continua, sin PCA, instalacion y puesta en marcha",69366,90
FEDERACION PATRONAL ART,228,8533,Control diario de analgesia sistemica sin bomba de infusion por dia,69383,90
FEDERACION PATRONAL ART,228,5057,Analgesia / anestesia raquidea o peridural en periodo expulsivo,13677,92
FEDERACION PATRONAL ART,228,5061,"Analgesia regional continua , primer dia cateter. Incluye colocacion de",14855,92
FEDERACION PATRONAL ART,228,5062,Analgesia regional continua c/24 hs o fraccion siguiente,14856,89
FEDERACION PATRONAL ART,228,5066,Analgesia regional continua con colocacion de cateter: 1ras 24 hs o fraccion siguiente,14857,91
FEDERACION PATRONAL ART,228,5067,"Analgesia regional continua, dias siguientes, por dia",14858,89
FEDERACION PATRONAL ART,228,5069,Analgesia regional por bloqueo subaracnoideo con fenol o similar,14859,90
FEDERACION PATRONAL ART,228,5077,Anestesia o sedacion-analgesia para fenolizacion de plexo vegetativo,14860,91
FEDERACION PATRONAL ART,228,5078,Anestesia o sedacion-analgesia para termolesion por rf,14861,92
FEDERACION PATRONAL ART,228,5143,Barbotaje de liquido cefaloraquideo / crioanalgesia,14873,90
FEDERACION PATRONAL ART,228,5220,"Bloqueo periferico para analgesia postquirurgica: interescalencio, infraclavicular, femoral, ciatico, etc.",14905,91
FEDERACION PATRONAL ART,228,6012,"Medicacion sistemica antalgica (neuroleptoanalgesia, agripnianalgesia): 1ras 24 hs o fraccion",15051,90
